FIRM,MODEL,AUTONOMY (km),POWER (kW),CHARGING TIME (h),BATTERY CAPACITY (kWh),TRACTION,PRICING (â‚¬)
BYD,ATTO 3,530,350,0.4,100,AWD,30000
BYD, SEAL,620,450,0.8,80,RWD,48000
BYD, SEALION,530,500,1.2,60,AWD,40000
BYD, DOLPHIN,420,200,1.0,120,AWD,28000
Tesla,Model S Plaid,840,750,1.5,100,AWD,120000
Tesla,Model 3 Standard,450,220,8,60,RWD,45000
Tesla,Model X Long Range,560,500,10,95,AWD,95000
Tesla,Model Y Performance,480,350,8,75,AWD,60000
Nissan,Leaf e+,385,160,11,62,FWD,40000
Nissan,Ariya,500,290,9,87,AWD,55000
Nissan,Leaf,270,110,7,40,FWD,30000
BMW,i4 M50,590,400,8,83,AWD,70000
BMW,iX xDrive50,630,385,10,105,AWD,85000
BMW,i3s,260,135,6,42,RWD,45000
Audi,e-tron GT,480,440,9,93,AWD,110000
Audi,Q4 e-tron,520,220,8,82,AWD,50000
Audi,e-tron,440,300,9,95,AWD,80000
Hyundai,Kona Electric,484,150,9,64,FWD,45000
Hyundai,Ioniq 5,480,225,10,77,AWD,55000
Hyundai,Ioniq 6,610,320,8,87,AWD,60000
Kia,EV6,528,320,8,77,AWD,58000
Kia,Niro EV,455,150,9,64,FWD,42000
Kia,Soul EV,280,150,7,39,FWD,35000
Ford,Mustang Mach-E,610,358,8,98,AWD,60000
Ford,F-150 Lightning,480,420,10,131,AWD,70000
Ford,E-Transit,200,198,8,67,RWD,50000
Volkswagen,ID.4,520,150,9,82,AWD,50000
Volkswagen,ID.3,420,150,7,58,FWD,40000
Volkswagen,ID. Buzz,400,150,8,82,RWD,60000
Porsche,Taycan Turbo S,450,560,9,93,AWD,180000
Porsche,Taycan 4S,490,390,8,83,AWD,110000
Porsche,Taycan,430,300,9,79,AWD,90000
Rivian,R1T,500,562,10,135,AWD,75000
Rivian,R1S,510,562,10,135,AWD,80000
